PDB_ID,PDB_Iron_Plane_Distance,XYZ_Iron_Plane_Distance,Plane_Distance_Difference,Axial_Combination
1ywd,0.12738037,0.10287211385018225,0.024508257243567755,HIS-HOH
1kb0,0.014274597,0.014274772583803497,1.7541583474667277e-07,HIS-MET
6k9j,0.018819809,0.018819295544737713,5.13415223224456e-07,HIS-MET
3qzz,0.10676408,0.08849506607425983,0.018269012065998957,HIS-HOH
4bln,0.3865223,0.2828154267832268,0.10370686630759351,HIS-HOH
1ntf,0.34008026,0.24496802979441767,0.09511223143605108,CYS-HOH
1csw,0.03860855,0.04059644391806572,0.0019878928926750916,HIS-MET
2v7i,0.11026001,0.08567935013966377,0.024580659625961232,HIS-HOH
1cxc,0.007549286,0.013876539441618263,0.006327253552946388,HIS-MET
4xmd,0.11017609,0.09039072613234289,0.01978536029343836,HIS-HOH
5b72,0.04374361,0.03443559600321677,0.009308014378863305,HIS-HOH
1q5d,0.15901184,0.1199582989226009,0.0390535418977116,CYS-HOH
1cry,0.044142723,0.044141488436101994,1.2346473940993974e-06,HIS-MET
451c,0.042383194,0.023417122287252568,0.018966071682473995,HIS-MET
1ltd,0.050031662,0.036484835313860486,0.013546826673444201,HIS-HIS
4xv7,0.028820038,0.02983719576010202,0.001017157918305145,HIS-HOH
4lpi,0.10194445,0.08216234272079159,0.01978210384292911,HIS-HOH
4f68,0.065439224,0.018028639603404173,0.04741058463975989,HIS-OXY
3vnw,0.017082214,0.027550979620535543,0.010468765265066793,HIS-MET
5l1r,0.21974564,0.1715897113000011,0.04815592468632701,CYS-HOH
6tev,0.11290741,0.09315025143284927,0.019757158235119476,CYS-HOH
1cpf,0.04058838,0.0314732392775241,0.009115139628725899,HIS-HOH
1zby,0.27368164,0.20947968690380492,0.06420195372119508,HIS-HOH
2r5l,0.2077179,0.15100870096392072,0.05670919454389178,HIS-HOH
2c2c,0.023897171,0.015077670933997922,0.00881950008650989,HIS-MET
4g8u,0.004676819,0.004674716547881985,2.102299774264793e-06,HIS-OXY
3h58,0.0393219,0.04095311357112408,0.001631214157061578,HIS-HOH
5oy2,0.0031852722,0.0015253826570802431,0.0016598895597166319,CYS-HOH
2hz1,0.009432375,0.009432409574107403,3.414304661220058e-08,HIS-HIS
5ejt,0.21407318,0.16183658796553857,0.05223659318680518,HIS-HOH
6k9i,0.0048675537,0.004867690463807861,1.3675287036107875e-07,HIS-MET
4f6i,0.014532089,0.018585976844590846,0.004053887611192408,HIS-OXY
6y2y,0.10967398,0.08966404987874554,0.020009927019447815,HIS-HOH
4e2p,0.7256012,0.4708516814227153,0.2547495148663472,CYS-HOH
4l54,0.0642004,0.041097485935639,0.023102915370513344,CYS-HOH
1crh,0.107824326,0.06032609529897215,0.04749823026255129,HIS-MET
3emm,0.1882143,0.14254635566359752,0.04566794639939076,HIS-HOH
5a5i,0.05649948,0.05039460993725697,0.006104871263914902,CYS-HOH
6dyi,0.09139252,0.06087164753409979,0.030520869555743957,HIS-MET
5oxu,0.10859871,0.08874826839252314,0.01985044071392217,CYS-HOH
3m25,0.06428909,0.03515128012696778,0.02913781289061035,HIS-HOH
6onq,0.11813927,0.09015052574746107,0.027988741220312363,HIS-MET
1cif,0.0209198,0.019118025558654494,0.0018017742460330055,HIS-MET
1u13,0.009217262,0.02029123072695249,0.011073968458886085,CYS-HOH
2bk9,0.03060913,0.03060874025493021,3.90604444788778e-07,HIS-HIS
4fef,0.112846375,0.08882712639008616,0.024019248121632586,HIS-HOH
4jms,0.006828308,0.0015973145764149876,0.005230993529053762,HIS-HOH
1aa4,0.018314362,0.026771359456034816,0.00845699788376919,HIS-HOH
3m2h,0.011943817,0.2336850194177842,0.22174120227911231,HIS-HOH
2qrb,0.073776245,0.03451850351006058,0.03925774160712692,HIS-HOH
1ccr,0.058724403,0.04384097893416872,0.014883424447178939,HIS-MET
4wpz,0.040263653,0.04292401114468625,0.0026603583431725752,CYS-HOH
2al0,0.209939,0.15775468687745686,0.052184316113265794,HIS-HOH
3a2g,0.08101368,0.06210449744778934,0.01890918205660519,HIS-HOH
6oob,0.22207928,0.18146450619455834,0.04061477084401588,CYS-HOH
3dp5,0.044008255,0.03597698839127261,0.0080312666136102,HIS-MET
1gwt,0.22062749,0.16857600630063985,0.05205148040514018,HIS-HOH
4mbn,0.15812683,0.1143780178710081,0.0437488131836794,HIS-HOH
3erh,0.12714577,0.08771981309266152,0.03942595411925254,HIS-HOH
4jcg,0.1016922,0.07658553809318036,0.02510666161385089,HIS-MET
6gk6,0.15851402,0.12831389327616094,0.030200129550987498,CYS-HOH
6ied,0.0034008026,0.003400677353759818,1.2525854486966637e-07,HIS-HIS
3awm,0.08771992,0.07008959289281957,0.017630324404543707,CYS-HOH
4ns2,0.09156704,0.06911031352819563,0.02245672596155046,HIS-HOH
4nvg,0.04020214,0.03558014878117444,0.004621992026931032,HIS-HOH
1crj,0.0100746155,0.01439005103936708,0.004315435560851455,HIS-MET
2ggn,0.023685455,0.023684742634888067,7.126873775575859e-07,HIS-HIS
4ict,0.18086815,0.13045437902251322,0.050413769781197715,CYS-HOH
5eet,0.007505417,0.00912848215822848,0.0016230652881112917,HIS-HIS
6u97,0.009876251,0.009877173234575487,9.220138723620153e-07,HIS-MET
5ikd,0.28238297,0.20947579481153156,0.07290717027635907,HIS-HOH
1yyg,0.15052795,0.11722011774065777,0.03330783636090473,HIS-HOH
4g7l,0.009010315,0.009005626903146435,4.688038259814675e-06,HIS-OXY
4b4y,0.031936646,0.01729804168847693,0.014638603819335572,HIS-OXY
4ktj,0.07984924,0.06364020670376647,0.016209036460296034,CYS-HOH
1jdr,0.056861877,0.05313062742933994,0.0037312500120663117,HIS-HOH
5eoh,0.0052604675,0.014017972864024841,0.008757505334727966,HIS-HIS
2anz,0.117853165,0.08603404439535467,0.03181912027749689,HIS-HOH
1aeu,0.04283142,0.047282072934294206,0.004450652035856706,HIS-HOH
4jpt,0.1234045,0.09953047157796924,0.023874031290683106,HIS-HOH
